Main,Control,Specification,id,Constant,FDI,TRADE,GQI,ICT,GDPPC,SE,GFCF,Adj_R,F_stat,AR1,AR2,BP,Arch,Ramsey_Reset,SW_Normality
ECI_HS92 <- FDI_GDP,"GDP_capita, School_enrollment","Model 13.ECI_HS92/(FDI_GDP, GDP_capita, School_enrollment)",13,"3.013e+00** 
(1.014e+00)","-3.628e-02* 
(1.698e-02)",-,-,-,"3.301e-05 
(3.370e-05)","-3.571e-02** 
(1.249e-02)",-,0.6176,3.280000*,"3.773186 
(0.100098663584133)","1.820646 
(0.254670244982298)","14.728469 
(0.615032537826931)","0.085982 
(0.769348182404761)","5.99090389972068** 
(0.0368997591980587)","0.937396 
(0.128867034683378)"
ECI_HS92 <- FDI_GDP,"GDP_capita, GovQualityIndex","Model 14.ECI_HS92/(FDI_GDP, GDP_capita, GovQualityIndex)",14,"7.031e-02 
(1.160e-01)","7.003e-03 
(1.037e-02)",-,"1.993e-02 
(3.437e-02)",-,"-3.516e-05* 
(1.702e-05)",-,-,0.4588,2.357000*,"5.050101* 
(0.0548025649106674)","4.657791* 
(0.0517290087449667)","14.957817 
(0.454459974344)","1.060702 
(0.303055192017066)","11.730722*** 
(0.00567277643406273)","0.959815 
(0.410794194129262)"
ECI_HS92 <- FDI_GDP,"GDP_capita, ICT_Index","Model 15.ECI_HS92/(FDI_GDP, GDP_capita, ICT_Index)",15,"-5.132e-01*** 
(1.415e-01)","1.225e-02 
(1.109e-02)",-,-,"-3.230e-01** 
(1.214e-01)","2.780e-05* 
(1.356e-05)",-,-,0.4245,2.180000,"4.167819* 
(0.0754950870491946)","2.900692 
(0.12090493096895)","13.263888 
(0.581923385290393)","1.869669 
(0.171512973056045)","7.36647320347145** 
(0.0201418554763042)","0.976499 
(0.808162136041313)"
ECI_HS92 <- FDI_GDP,"GFCF_GDP, School_enrollment","Model 16.ECI_HS92/(FDI_GDP, GFCF_GDP, School_enrollment)",16,"-0.591243 
(1.014330)","0.039277 
(0.029436)",-,-,-,-,"0.002489 
(0.010498)","0.005917 
(0.026097)",0.8545,8.833000***,"8.65655957681185** 
(0.0321744467380573)","4.685843* 
(0.0894844746259934)","18.896719 
(0.398209289577925)","2.999767* 
(0.0832764935739253)","17.042437*** 
(0.00330641958362452)","0.948904 
(0.236828845028424)"
ECI_HS92 <- FDI_GDP,"GFCF_GDP, GovQualityIndex","Model 17.ECI_HS92/(FDI_GDP, GFCF_GDP, GovQualityIndex)",17,"2.858163 
(2.346957)","0.086144 
(0.067226)",-,"-0.030578 
(0.089436)",-,-,-,"-0.147958 
(0.115070)",0.3429,1.696000,"0.100340 
(0.764220275349318)","0.759755 
(0.525192856610511)","14.078215 
(0.723978498061765)","0.417496 
(0.518189099280639)","0.175336 
(0.686428376451192)","0.899848004295009** 
(0.0182070174479705)"
ECI_HS92 <- FDI_GDP,"GFCF_GDP, ICT_Index","Model 18.ECI_HS92/(FDI_GDP, GFCF_GDP, ICT_Index)",18,"0.511764 
(0.785594)","-0.002442 
(0.024622)",-,-,"-0.293799 
(0.162603)",-,-,"-0.035618 
(0.037654)",0.3604,1.751000,"0.002694 
(0.960615090596138)","0.661972 
(0.564485704933539)","10.162906 
(0.926459124531039)","0.079816 
(0.77754733192309)","1.114593 
(0.321922556655344)","0.888570082425992** 
(0.0104327754153697)"
ECI_HS92 <- FDI_GDP,"GovQualityIndex, School_enrollment","Model 19.ECI_HS92/(FDI_GDP, GovQualityIndex, School_enrollment)",19,"2.538117*** 
(0.584249)","-0.023935 
(0.013231)",-,"-0.051435* 
(0.026517)",-,-,"-0.028883*** 
(0.006208)",-,0.6002,3.573000**,"1.859516 
(0.205811736713723)","5.23304485860742** 
(0.0352257446830012)","10.535262 
(0.72209685298163)","0.047635 
(0.827230286014672)","4.701830* 
(0.0509431767635224)","0.967786 
(0.589580943686729)"
ECI_HS92 <- FDI_GDP,"ICT_Index, School_enrollment","Model 20.ECI_HS92/(FDI_GDP, ICT_Index, School_enrollment)",20,"1.642514** 
(0.528181)","-0.031987** 
(0.011935)",-,-,"-0.153539* 
(0.068753)",-,"-0.019891*** 
(0.005412)",-,0.6542,4.027000**,"1.948881 
(0.200229512103991)","5.22740900610822** 
(0.040845056591373)","12.503280 
(0.640604404330633)","0.376829 
(0.539305208935739)","9.05250353920237** 
(0.0118926620429001)","0.976895 
(0.817514510188548)"
ECI_HS92 <- FDI_GDP,"GovQualityIndex, ICT_Index","Model 21.ECI_HS92/(FDI_GDP, GovQualityIndex, ICT_Index)",21,"-0.275916*** 
(0.061948)","-0.013368 
(0.013459)",-,"0.061742* 
(0.029631)","-0.215671* 
(0.103246)",-,-,-,0.6804,3.839000*,"4.655332* 
(0.0834373222466251)","11.6238035697269** 
(0.0215507924718011)","19.365227 
(0.369664629021454)","1.354541 
(0.244485757119812)","5.33613524343239** 
(0.0496884929026164)","0.930275* 
(0.0881869046028678)"
ECI_HS92 <- FDI_GDP,"GDP_capita, GFCF_GDP, Trade_GDP","Model 22.ECI_HS92/(FDI_GDP, GDP_capita, GFCF_GDP, Trade_GDP)",22,"8.255e-01* 
(4.355e-01)","1.374e-02* 
(7.308e-03)","-1.411e-02*** 
(4.145e-03)",-,-,"-1.925e-05 
(1.237e-05)",-,"1.570e-03 
(1.053e-02)",0.6642,4.090000**,"0.664939 
(0.438422919650697)","0.618358 
(0.565853069594759)","20.044064 
(0.218242556255678)","2.879208* 
(0.089730167199636)","1.228057 
(0.289502464796933)","0.986741 
(0.976568705489028)"
ECI_HS92 <- FDI_GDP,"GDP_capita, School_enrollment, Trade_GDP","Model 23.ECI_HS92/(FDI_GDP, GDP_capita, School_enrollment, Trade_GDP)",23,"6.902e-01 
(4.883e-01)","1.745e-02 
(1.108e-02)","-1.506e-02*** 
(4.255e-03)",-,-,"-2.618e-05 
(2.118e-05)","2.833e-03 
(7.263e-03)",-,0.6681,4.145000**,"2.336887 
(0.164865803734167)","1.192006 
(0.358495066233054)","15.527327 
(0.486407517764042)","2.145822 
(0.142958444170916)","1.045426 
(0.326733956238999)","0.983026 
(0.930745191382636)"
ECI_HS92 <- FDI_GDP,"GDP_capita, GovQualityIndex, Trade_GDP","Model 24.ECI_HS92/(FDI_GDP, GDP_capita, GovQualityIndex, Trade_GDP)",24,"1.360e+00** 
(4.214e-01)","1.205e-02 
(7.178e-03)","-2.252e-02** 
(6.744e-03)","1.016e-01 
(6.518e-02)",-,"-2.875e-05* 
(1.259e-05)",-,-,0.7265,4.690000**,"1.507156 
(0.265548535570547)","1.600399 
(0.290258291045267)","19.072197 
(0.387390288711377)","0.008162 
(0.928012490541142)","1.362045 
(0.270258938789431)","0.976701 
(0.797374840692079)"
ECI_HS92 <- FDI_GDP,"GDP_capita, ICT_Index, Trade_GDP","Model 25.ECI_HS92/(FDI_GDP, GDP_capita, ICT_Index, Trade_GDP)",25,"1.332e+00** 
(4.349e-01)","1.919e-02** 
(7.293e-03)","-1.921e-02*** 
(5.171e-03)",-,"1.028e-01 
(8.513e-02)","-4.398e-05* 
(2.356e-05)",-,-,0.7095,4.817000**,"0.063973 
(0.806701293268794)","0.924748 
(0.440177777536464)","15.897078 
(0.46016687202909)","2.898524* 
(0.0886607282363828)","0.427814 
(0.525400455794624)","0.969112 
(0.600422783628676)"
ECI_HS92 <- FDI_GDP,"GFCF_GDP, School_enrollment, Trade_GDP","Model 26.ECI_HS92/(FDI_GDP, GFCF_GDP, School_enrollment, Trade_GDP)",26,"1.678643 
(1.011052)","-0.022493* 
(0.010220)","-0.002313 
(0.004133)",-,-,-,"-0.016384** 
(0.005340)","-0.003371 
(0.019191)",0.5852,3.351000**,"0.002922 
(0.95806956238788)","0.172741 
(0.844411541625029)","15.069401 
(0.446429747559228)","1.076178 
(0.299554228946238)","3.667853* 
(0.0777319975318457)","0.985016 
(0.958799701758393)"
ECI_HS92 <- FDI_GDP,"GFCF_GDP, GovQualityIndex, Trade_GDP","Model 27.ECI_HS92/(FDI_GDP, GFCF_GDP, GovQualityIndex, Trade_GDP)",27,"-1.365808* 
(0.711410)","-0.037477* 
(0.019500)","-0.003277 
(0.005045)","0.130431** 
(0.051124)",-,-,-,"0.069872** 
(0.028372)",0.3061,1.788000,"0.218346 
(0.650319175377973)","0.587042 
(0.575920230883548)","14.087882 
(0.443184508573786)","2.960256* 
(0.0853344173184563)","0.034281 
(0.855766325894775)","0.985811 
(0.967738794853385)"
ECI_HS92 <- FDI_GDP,"GFCF_GDP, ICT_Index, Trade_GDP","Model 28.ECI_HS92/(FDI_GDP, GFCF_GDP, ICT_Index, Trade_GDP)",28,"-0.509936 
(0.695676)","-0.009058 
(0.011046)","0.002874 
(0.004178)",-,"-0.140472* 
(0.064681)",-,-,"0.010601 
(0.022223)",0.4195,2.291000*,"0.018101 
(0.895644848700503)","0.773693 
(0.489710488234001)","11.596369 
(0.638681729350457)","0.385249 
(0.534807541492045)","0.299024 
(0.593104574791938)","0.961459 
(0.421051503251055)"
ECI_HS92 <- FDI_GDP,"GovQualityIndex, School_enrollment, Trade_GDP","Model 29.ECI_HS92/(FDI_GDP, GovQualityIndex, School_enrollment, Trade_GDP)",29,"2.412e+00*** 
(5.242e-01)","-2.720e-02** 
(9.599e-03)","-1.436e-02*** 
(4.227e-03)","1.284e-01** 
(4.384e-02)",-,-,"-1.778e-02*** 
(4.001e-03)",-,0.5888,3.557000**,"5.4833370729928** 
(0.041223251255134)","2.731091 
(0.118314790756346)","13.916105 
(0.455979897072139)","1.764332 
(0.184085073586745)","1.065776 
(0.319406794862758)","0.949166 
(0.221681845043522)"
ECI_HS92 <- FDI_GDP,"ICT_Index, School_enrollment, Trade_GDP","Model 30.ECI_HS92/(FDI_GDP, ICT_Index, School_enrollment, Trade_GDP)",30,"3.030936 
(1.866871)","0.039706 
(0.034773)","-0.013337 
(0.007519)",-,"0.353214 
(0.272090)",-,"-0.023807 
(0.015406)",-,0.4865,2.316000,"0.621709 
(0.46042222181513)","1.940742 
(0.237799604193823)","14.528777 
(0.694027796753669)","0.009085 
(0.92406253089643)","0.762171 
(0.403126506452744)","0.977514 
(0.817275676055604)"
ECI_HS92 <- FDI_GDP,"GovQualityIndex, ICT_Index, Trade_GDP","Model 31.ECI_HS92/(FDI_GDP, GovQualityIndex, ICT_Index, Trade_GDP)",31,"0.825283 
(0.440766)","-0.030776** 
(0.009518)","-0.018878* 
(0.007793)","0.305521** 
(0.089289)","-0.357533*** 
(0.088132)",-,-,-,0.7089,4.247000**,"0.160963 
(0.704842732708721)","1.669559 
(0.29705184250771)","19.039630 
(0.389386869527624)","0.707245 
(0.400359860347116)","0.091106 
(0.769633960151352)","0.976878 
(0.817108615334532)"
ECI_HS92 <- FDI_GDP,"GDP_capita, GFCF_GDP, School_enrollment","Model 32.ECI_HS92/(FDI_GDP, GDP_capita, GFCF_GDP, School_enrollment)",32,"1.983e-01 
(1.055e+00)","-9.565e-03 
(1.520e-02)",-,-,-,"4.358e-06 
(1.250e-05)","-9.710e-03 
(8.446e-03)","2.635e-02 
(1.838e-02)",0.5444,2.867000*,"0.909676 
(0.36812638452789)","0.899237 
(0.449177029363146)","17.064415 
(0.381440741083902)","6.29742237213823** 
(0.0120913666346865)","3.509845* 
(0.0855571652700531)","0.980289 
(0.879996096369923)"
ECI_HS92 <- FDI_GDP,"GDP_capita, GFCF_GDP, GovQualityIndex","Model 33.ECI_HS92/(FDI_GDP, GDP_capita, GFCF_GDP, GovQualityIndex)",33,"-1.249e+00*** 
(3.867e-01)","-2.016e-02 
(1.181e-02)",-,"5.834e-02* 
(2.885e-02)",-,"-7.122e-06 
(8.692e-06)",-,"5.513e-02** 
(1.829e-02)",0.4453,2.544000*,"0.160916 
(0.695997347981191)","1.039396 
(0.38893994367134)","17.506848 
(0.177157271615063)","0.406475 
(0.523764285991232)","0.444904 
(0.514895485209117)","0.990343 
(0.995819545068105)"
ECI_HS92 <- FDI_GDP,"GDP_capita, GFCF_GDP, ICT_Index","Model 34.ECI_HS92/(FDI_GDP, GDP_capita, GFCF_GDP, ICT_Index)",34,"-8.870e-01** 
(3.407e-01)","-4.047e-03 
(7.953e-03)",-,-,"-2.783e-02 
(8.872e-02)","-4.530e-06 
(1.229e-05)",-,"3.488e-02* 
(1.786e-02)",0.4046,2.213000*,"0.012148 
(0.914416348235049)","1.218394 
(0.340191077460878)","17.548860 
(0.2281064832955)","0.767442 
(0.381009605028193)","2.109916 
(0.168390673101324)","0.930204* 
(0.0783642493726645)"
ECI_HS92 <- FDI_GDP,"GDP_capita, GovQualityIndex, School_enrollment","Model 35.ECI_HS92/(FDI_GDP, GDP_capita, GovQualityIndex, School_enrollment)",35,"7.206e-01 
(7.072e-01)","1.933e-02 
(2.333e-02)",-,"-6.335e-02 
(3.721e-02)",-,"7.418e-06 
(1.463e-05)","-9.802e-03 
(7.969e-03)",-,0.3472,1.950000,"3.546713* 
(0.0890429917196952)","1.963988 
(0.195976485529558)","15.320888 
(0.356576943059912)","0.113740 
(0.735925513289945)","1.453431 
(0.247959684899941)","0.962482 
(0.442734914108242)"
ECI_HS92 <- FDI_GDP,"GDP_capita, ICT_Index, School_enrollment","Model 36.ECI_HS92/(FDI_GDP, GDP_capita, ICT_Index, School_enrollment)",36,"1.029e-01 
(9.845e-01)","4.109e-03 
(1.932e-02)",-,-,"-1.791e-01 
(1.340e-01)","1.725e-05 
(1.828e-05)","-4.052e-03 
(9.882e-03)",-,0.373,1.930000,"0.681355 
(0.433043794706558)","0.896288 
(0.450232200701324)","17.100534 
(0.379120633456157)","0.330946 
(0.565102657768706)","0.321090 
(0.581397288049672)","0.967544 
(0.560791420053359)"
ECI_HS92 <- FDI_GDP,"GDP_capita, GovQualityIndex, ICT_Index","Model 37.ECI_HS92/(FDI_GDP, GDP_capita, GovQualityIndex, ICT_Index)",37,"-5.137e-01*** 
(1.496e-01)","-2.547e-02 
(1.608e-02)",-,"1.054e-01** 
(4.121e-02)","-4.355e-01*** 
(1.307e-01)","3.927e-05** 
(1.678e-05)",-,-,0.43,2.258000*,"0.293830 
(0.600937648895788)","0.163444 
(0.85197950343654)","15.251910 
(0.433428542957386)","0.085677 
(0.769746293798686)","2.336180 
(0.150359679616993)","0.985539 
(0.964833207508867)"
ECI_HS92 <- FDI_GDP,"GFCF_GDP, GovQualityIndex, School_enrollment","Model 38.ECI_HS92/(FDI_GDP, GFCF_GDP, GovQualityIndex, School_enrollment)",38,"0.1530746 
(0.6423768)","-0.0261117** 
(0.0106953)",-,"0.0489814* 
(0.0233177)",-,-,"-0.0093451* 
(0.0048822)","0.0299617* 
(0.0150261)",0.6528,4.357000***,"0.255407 
(0.624245322275724)","0.635193 
(0.552015006418422)","14.719927 
(0.39756395929083)","0.394260 
(0.530068697551597)","2.778580 
(0.117738482517032)","0.973273 
(0.709176189239606)"
ECI_HS92 <- FDI_GDP,"GFCF_GDP, ICT_Index, School_enrollment","Model 39.ECI_HS92/(FDI_GDP, GFCF_GDP, ICT_Index, School_enrollment)",39,"1.942413*** 
(0.520322)","-0.034335*** 
(0.007709)",-,-,"0.152867** 
(0.065182)",-,"-0.024965*** 
(0.004892)","0.016363 
(0.009724)",0.6742,4.696000***,"0.145965 
(0.710415566534041)","1.526901 
(0.268554782858101)","15.080024 
(0.372706279005304)","2.195102 
(0.138450042163122)","6.07797955614843** 
(0.0272269134422429)","0.953778 
(0.283794555610948)"
ECI_HS92 <- FDI_GDP,"GFCF_GDP, GovQualityIndex, ICT_Index","Model 40.ECI_HS92/(FDI_GDP, GFCF_GDP, GovQualityIndex, ICT_Index)",40,"-1.431686*** 
(0.410978)","-0.043270** 
(0.014211)",-,"0.100209*** 
(0.027644)","-0.126987** 
(0.055888)",-,-,"0.061070*** 
(0.019629)",0.4909,2.854000**,"0.038694 
(0.847643881903677)","7.23305300231669** 
(0.0114071127606619)","12.965063 
(0.450513903377397)","0.007254 
(0.932123962217452)","0.122973 
(0.730708180972914)","0.960503 
(0.401539283413029)"
ECI_HS92 <- FDI_GDP,"GovQualityIndex, ICT_Index, School_enrollment","Model 41.ECI_HS92/(FDI_GDP, GovQualityIndex, ICT_Index, School_enrollment)",41,"2.397640** 
(0.995107)","-0.011113 
(0.012680)",-,"-0.068714 
(0.047850)","0.152504 
(0.141698)",-,"-0.026108** 
(0.010107)",-,0.4344,2.280000*,"0.715092 
(0.419672102991553)","1.271172 
(0.331597507377186)","12.136637 
(0.668658618124582)","0.386655 
(0.534062703351434)","0.130789 
(0.723425877472482)","0.937886 
(0.119555582629441)"
ECI_HS92 <- FDI_GDP,"GDP_capita, GovQualityIndex, School_enrollment, Trade_GDP","Model 45.ECI_HS92/(FDI_GDP, GDP_capita, GovQualityIndex, School_enrollment, Trade_GDP)",45,"2.196e+00** 
(5.350e-01)","2.105e-02 
(1.510e-02)",-,-,-,"-4.395e-05* 
(1.946e-05)",-,-,0.8496,7.723000**,"9.057823* 
(0.0572289462984159)","3.261416 
(0.234663773492915)","16.359656 
(0.74911510089725)","3.255722* 
(0.0711746032490511)","1.281228 
(0.290456139988348)","0.985781 
(0.967428933536775)"
ECI_HS92 <- FDI_GDP,"GDP_capita, GovQualityIndex, ICT_Index, Trade_GDP","Model 47.ECI_HS92/(FDI_GDP, GDP_capita, GovQualityIndex, ICT_Index, Trade_GDP)",47,"8.954e-01** 
(3.019e-01)","-6.344e-02*** 
(1.349e-02)",-,-,-,"6.330e-05** 
(1.707e-05)",-,-,0.8524,7.877000**,"0.433596 
(0.5572540374509)","2.318438 
(0.301346564957241)","19.491115 
(0.553666975969064)","0.317932 
(0.572853195520831)","0.000087 
(0.992806966415801)","0.940326 
(0.136740577689579)"
ECI_HS92 <- FDI_GDP,"GFCF_GDP, GovQualityIndex, School_enrollment, Trade_GDP","Model 48.ECI_HS92/(FDI_GDP, GFCF_GDP, GovQualityIndex, School_enrollment, Trade_GDP)",48,"7.999713** 
(2.080826)","-0.058225* 
(0.018964)",-,-,-,-,-,"-0.094464 
(0.043688)",0.8649,8.276000*,"1.094395 
(0.405298306755498)","0.542324 
(0.692601903165177)","14.918787 
(0.865699586653137)","1.050681 
(0.30535021023384)","0.008800 
(0.927889095774263)","0.923713* 
(0.0549754215921335)"
ECI_HS92 <- FDI_GDP,"GFCF_GDP, ICT_Index, School_enrollment, Trade_GDP","Model 49.ECI_HS92/(FDI_GDP, GFCF_GDP, ICT_Index, School_enrollment, Trade_GDP)",49,"4.685851* 
(2.019147)","0.001384 
(0.014574)","-0.013946 
(0.008064)",-,"0.545920* 
(0.244837)",-,"-0.043222** 
(0.014509)","0.012336 
(0.020864)",0.5777,2.800000,"0.043585 
(0.842865841319303)","0.266273 
(0.778817468295929)","16.907568 
(0.596129902559153)","3.8492068256682** 
(0.049769521698914)","4.275942* 
(0.065521167705921)","0.972154 
(0.67971344014743)"
ECI_HS92 <- FDI_GDP,"GFCF_GDP, GovQualityIndex, ICT_Index, Trade_GDP","Model 50.ECI_HS92/(FDI_GDP, GFCF_GDP, GovQualityIndex, ICT_Index, Trade_GDP)",50,"3.850483** 
(0.993189)","0.099180* 
(0.033650)",-,-,-,-,-,"-0.181520** 
(0.051900)",0.8655,8.314000*,"5.681720 
(0.139975795047514)","15.572637 
(0.176376787392476)","18.583080 
(0.67091231681395)","0.346574 
(0.556058913290271)","0.406436 
(0.544064985598205)","0.976365 
(0.788981297251493)"
ECI_HS92 <- FDI_GDP,"GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP","Model 51.ECI_HS92/(FDI_GDP, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP)",51,"4.793199** 
(1.229808)","0.003416 
(0.012889)",-,"0.181142 
(0.089475)",-,-,-,-,0.8028,5.847000**,"0.316742 
(0.612889398648237)","2.226996 
(0.309885717351783)","22.137432 
(0.391627593911621)","0.915305 
(0.338710729603654)","0.002540 
(0.961041655847612)","0.967200 
(0.552258340178975)"
ECI_HS92 <- FDI_GDP,"GDP_capita, GFCF_GDP, ICT_Index, School_enrollment","Model 53.ECI_HS92/(FDI_GDP, GDP_capita, GFCF_GDP, ICT_Index, School_enrollment)",53,"4.551e+00** 
(8.722e-01)","-1.270e-01*** 
(2.109e-02)",-,-,-,"-1.712e-04** 
(3.521e-05)",-,-,0.8763,9.050000**,"0.195205 
(0.701799482214591)","0.192770 
(0.849553179282336)","24.284172 
(0.332511895225526)","0.594379 
(0.440730576074843)","0.666796 
(0.441070619377397)","0.970425 
(0.634384027220023)"
ECI_HS92 <- FDI_GDP,"GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment","Model 56.ECI_HS92/(FDI_GDP, GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment)",56,"4.506160** 
(0.990351)","0.005655 
(0.014934)",-,-,-,-,-,"-0.173876** 
(0.036759)",0.9252,15.060000**,"9.785191* 
(0.0887944845456194)","6.690634 
(0.263694713993905)","25.343526 
(0.280930674653166)","4.18897519590873** 
(0.0406876859288411)","3.661491* 
(0.0972551946705273)","0.970418 
(0.634189202921368)"
ECI_HS92 <- FDI_GDP,"GDP_capita, GFCF_GDP, GovQualityIndex, School_enrollment, Trade_GDP","Model 57.ECI_HS92/(FDI_GDP, GDP_capita, GFCF_GDP, GovQualityIndex, School_enrollment, Trade_GDP)",57,"5.810e+00*** 
(1.524e+00)","-1.041e-02 
(1.128e-02)","-1.425e-02** 
(4.282e-03)","7.517e-03 
(3.123e-02)",-,"-7.576e-06 
(1.721e-05)","-3.293e-02*** 
(8.859e-03)","-9.241e-02** 
(3.218e-02)",0.5714,2.852000*,"0.599363 
(0.46822014545246)","0.988188 
(0.434860731585375)","17.196446 
(0.50963993008164)","0.709920 
(0.399470455732588)","2.900868 
(0.114267500692203)","0.930971* 
(0.0817328752655337)"
ECI_HS92 <- FDI_GDP,"GDP_capita, GFCF_GDP, ICT_Index, School_enrollment, Trade_GDP","Model 58.ECI_HS92/(FDI_GDP, GDP_capita, GFCF_GDP, ICT_Index, School_enrollment, Trade_GDP)",58,"3.229e+00** 
(1.143e+00)","-1.240e-02 
(1.122e-02)","-1.326e-02** 
(4.260e-03)",-,"1.676e-01* 
(8.628e-02)","-1.472e-05 
(1.606e-05)","-2.101e-02** 
(8.140e-03)","-1.926e-02 
(1.601e-02)",0.5403,2.910000**,"2.917703 
(0.121789235975675)","1.556110 
(0.268631359170682)","16.906203 
(0.391691633704921)","0.348643 
(0.554882379290091)","5.00963960270812** 
(0.0408000303519137)","0.988327 
(0.98599121344076)"
