Main,Control,Specification,id,Constant,ECI,TRADE,GQI,ICT,GDPPC,SE,GFCF,Adj_R,F_stat,AR1,AR2,BP,Arch,Ramsey_Reset,SW_Normality
FDI_GDP <- ECI_SITC,"GFCF_GDP, School_enrollment","Model 16.FDI_GDP/(ECI_SITC, GFCF_GDP, School_enrollment)",16,"50.84881 
(33.67748)","-47.53580* 
(24.34331)",-,-,-,-,"-0.83201** 
(0.31463)","0.64162 
(0.79493)",0.7682,5.420000**,"8.78663520034023** 
(0.0313654291554396)","5.999715* 
(0.0625044509392096)","21.102039 
(0.274296363973383)","5.25558899203939** 
(0.0218763959510331)","0.265756 
(0.620132690122477)","0.973385 
(0.731299231039011)"
FDI_GDP <- ECI_SITC,"GFCF_GDP, GovQualityIndex","Model 17.FDI_GDP/(ECI_SITC, GFCF_GDP, GovQualityIndex)",17,"-47.58681*** 
(10.39898)","10.95541* 
(5.66245)",-,"-0.39874 
(0.93967)",-,-,-,"2.69615*** 
(0.50111)",0.8389,8.813000***,"1.798239 
(0.221803814029687)","2.649469 
(0.149741083016598)","11.501568 
(0.777520024127472)","4.01212511080501** 
(0.0451741775542411)","0.136592 
(0.719399076444387)","0.939707 
(0.145743150614953)"
FDI_GDP <- ECI_SITC,"GFCF_GDP, ICT_Index","Model 18.FDI_GDP/(ECI_SITC, GFCF_GDP, ICT_Index)",18,"-31.581172** 
(10.075621)","-17.820729* 
(8.926577)",-,-,"-9.180343*** 
(2.198587)",-,-,"1.424377** 
(0.516315)",0.8586,9.098000***,"0.149655 
(0.714781939157798)","0.059943 
(0.942648054982821)","20.240323 
(0.319453442619659)","0.036686 
(0.84810480229914)","0.431351 
(0.529762739602067)","0.976188 
(0.800739513375705)"
FDI_GDP <- ECI_SITC,"GovQualityIndex, School_enrollment","Model 19.FDI_GDP/(ECI_SITC, GovQualityIndex, School_enrollment)",19,"35.94154* 
(18.22673)","-15.91693 
(22.20881)",-,"-1.27831 
(1.65642)",-,-,"-0.41184 
(0.26437)",-,0.6299,3.269000*,"2.040248 
(0.212553182356159)","6.635769* 
(0.0536361916254097)","14.336658 
(0.706895988392051)","0.049610 
(0.823744129570785)","1.182503 
(0.308520681059195)","0.932530* 
(0.0994332682443845)"
FDI_GDP <- ECI_SITC,"ICT_Index, School_enrollment","Model 20.FDI_GDP/(ECI_SITC, ICT_Index, School_enrollment)",20,"111.3480** 
(38.5823)","-36.8552** 
(14.7107)",-,-,"7.9107** 
(3.4380)",-,"-1.2559** 
(0.4352)",-,0.5641,3.071000**,"0.992106 
(0.348397289904221)","2.502654 
(0.151368903917511)","14.143219 
(0.514696015431772)","0.005951 
(0.938511831263547)","0.624697 
(0.446012321068835)","0.970069 
(0.646826968343328)"
FDI_GDP <- ECI_SITC,"GovQualityIndex, ICT_Index","Model 21.FDI_GDP/(ECI_SITC, GovQualityIndex, ICT_Index)",21,"16.8608** 
(6.7862)","38.1466* 
(19.8178)",-,"-3.1197 
(2.0858)","4.3015* 
(2.3595)",-,-,-,0.1988,1.542000,"0.745291 
(0.404895707652369)","0.347437 
(0.713977005253204)","13.202828 
(0.280275695091137)","0.487415 
(0.485082599589965)","0.108725 
(0.746159594978441)","0.974533 
(0.760195272916678)"
FDI_GDP <- ECI_SITC,"GDP_capita, GFCF_GDP, Trade_GDP","Model 22.FDI_GDP/(ECI_SITC, GDP_capita, GFCF_GDP, Trade_GDP)",22,"-5.218e+01** 
(1.745e+01)","2.836e+01* 
(1.314e+01)","2.187e-01* 
(1.124e-01)",-,-,"6.969e-04* 
(3.410e-04)",-,"2.019e+00*** 
(5.790e-01)",0.5978,3.186000*,"0.011885 
(0.91624840417966)","0.006042 
(0.993981943894129)","13.946403 
(0.67089219492984)","0.124466 
(0.724239888855108)","0.248063 
(0.628249985113578)","0.957333 
(0.341778541356017)"
FDI_GDP <- ECI_SITC,"GDP_capita, School_enrollment, Trade_GDP","Model 23.FDI_GDP/(ECI_SITC, GDP_capita, School_enrollment, Trade_GDP)",23,"7.563e+01*** 
(7.702e+00)","-3.578e+01** 
(9.665e+00)",-,-,-,"1.283e-03** 
(3.086e-04)",-,-,0.9691,36.880000***,"3.256965 
(0.212883506583418)","14.430688 
(0.182997473920776)","21.802673 
(0.410956607386129)","4.6285111618418** 
(0.03144483910929)","4.387074* 
(0.0810881987701618)","0.897925493093231** 
(0.0165386811188517)"
FDI_GDP <- ECI_SITC,"GDP_capita, GovQualityIndex, Trade_GDP","Model 24.FDI_GDP/(ECI_SITC, GDP_capita, GovQualityIndex, Trade_GDP)",24,"-3.026e+00 
(5.566e+00)","2.583e+01* 
(1.347e+01)","1.573e-01* 
(7.892e-02)","-6.913e+00** 
(1.977e+00)",-,"-4.242e-04 
(4.932e-04)",-,-,0.7183,4.541000**,"14.372945*** 
(0.00906099570747973)","15.455503*** 
(0.0072336266174583)","19.975279 
(0.334213204291756)","4.37284340837854** 
(0.0365160107337544)","0.012830 
(0.912058638036017)","0.906407640403272** 
(0.0218282286633838)"
FDI_GDP <- ECI_SITC,"GDP_capita, ICT_Index, Trade_GDP","Model 25.FDI_GDP/(ECI_SITC, GDP_capita, ICT_Index, Trade_GDP)",25,"-3.632e+01*** 
(1.149e+01)","-8.315e+00 
(1.047e+01)","3.569e-01*** 
(1.014e-01)",-,"-1.172e+01*** 
(2.952e+00)","1.427e-03*** 
(3.364e-04)",-,-,0.6075,3.764000**,"9.14807630606096** 
(0.0127950288618764)","4.202062* 
(0.0514229059127247)","11.596696 
(0.638655568298069)","0.041493 
(0.838588447091496)","1.141666 
(0.303378666146677)","0.958691 
(0.366433980683489)"
FDI_GDP <- ECI_SITC,"GFCF_GDP, School_enrollment, Trade_GDP","Model 26.FDI_GDP/(ECI_SITC, GFCF_GDP, School_enrollment, Trade_GDP)",26,"-7.846555 
(19.183826)","-37.702701** 
(12.222267)","0.384132*** 
(0.108141)",-,-,-,"-0.564219** 
(0.183579)","1.133539** 
(0.415447)",0.6564,3.809000**,"19.736157*** 
(0.00299850038880695)","8.46719719208165** 
(0.0179057254780143)","20.087924 
(0.269756856712956)","4.94237437177735** 
(0.0262060137858945)","0.722469 
(0.413453137403914)","0.979062 
(0.853429767144622)"
FDI_GDP <- ECI_SITC,"GFCF_GDP, GovQualityIndex, Trade_GDP","Model 27.FDI_GDP/(ECI_SITC, GFCF_GDP, GovQualityIndex, Trade_GDP)",27,"-68.16305*** 
(14.01363)","-2.67515 
(6.32386)","0.34782*** 
(0.07566)","0.05144 
(1.08124)",-,-,-,"2.26289*** 
(0.50833)",0.7116,5.112000***,"3.012784 
(0.116629676940267)","1.619853 
(0.256649391510898)","5.465216 
(0.987400950631546)","0.369986 
(0.54301174806929)","0.000388 
(0.984579513135948)","0.946503 
(0.191836759573755)"
FDI_GDP <- ECI_SITC,"GFCF_GDP, ICT_Index, Trade_GDP","Model 28.FDI_GDP/(ECI_SITC, GFCF_GDP, ICT_Index, Trade_GDP)",28,"-55.32501*** 
(15.62278)","-4.11820 
(10.16035)","0.37224*** 
(0.11247)",-,"-1.36342 
(1.78347)",-,-,"1.49719*** 
(0.39292)",0.5653,3.501000**,"0.457865 
(0.512601267209829)","0.511475 
(0.614484531087769)","10.430239 
(0.658430292715197)","0.000742 
(0.978264289251705)","1.603271 
(0.22475187230753)","0.953840 
(0.28472052864264)"
FDI_GDP <- ECI_SITC,"GovQualityIndex, School_enrollment, Trade_GDP","Model 29.FDI_GDP/(ECI_SITC, GovQualityIndex, School_enrollment, Trade_GDP)",29,"20.05507 
(17.64006)","-18.00865 
(23.22483)","0.28850* 
(0.13003)","-2.39141 
(1.41503)",-,-,"-0.48295 
(0.30869)",-,0.5964,3.173000*,"5.422121* 
(0.052726752173369)","2.341447 
(0.177168658245271)","14.544345 
(0.628265101052346)","1.144827 
(0.284634658537069)","0.003955 
(0.950980569084231)","0.987061 
(0.979203405716946)"
FDI_GDP <- ECI_SITC,"ICT_Index, School_enrollment, Trade_GDP","Model 30.FDI_GDP/(ECI_SITC, ICT_Index, School_enrollment, Trade_GDP)",30,"54.71668*** 
(16.66250)","-19.57004 
(11.88471)","0.04400 
(0.09488)",-,"3.46965* 
(1.88893)",-,"-0.67319*** 
(0.17259)",-,0.726,5.732000***,"3.026463 
(0.112544003590023)","1.693504 
(0.237543077152097)","12.755735 
(0.54584114115475)","0.005283 
(0.942058846831158)","0.458521 
(0.509351057595735)","0.924293* 
(0.056737232690453)"
FDI_GDP <- ECI_SITC,"GovQualityIndex, ICT_Index, Trade_GDP","Model 31.FDI_GDP/(ECI_SITC, GovQualityIndex, ICT_Index, Trade_GDP)",31,"4.40942 
(13.35001)","26.19774 
(19.17544)","0.07144 
(0.12568)","-1.17664 
(1.59230)","2.76149 
(2.79496)",-,-,-,0.4784,2.529000*,"1.224338 
(0.297208211165124)","0.551217 
(0.596663904883909)","17.919696 
(0.266910925423565)","0.718836 
(0.396526073654208)","2.473893 
(0.139763897869306)","0.962848 
(0.450684621162523)"
FDI_GDP <- ECI_SITC,"GDP_capita, GFCF_GDP, School_enrollment","Model 32.FDI_GDP/(ECI_SITC, GDP_capita, GFCF_GDP, School_enrollment)",32,"5.848e+01* 
(2.751e+01)","-3.610e+01* 
(1.727e+01)",-,-,-,"2.758e-04 
(4.212e-04)","-7.151e-01** 
(2.483e-01)","-2.151e-01 
(4.975e-01)",0.4601,2.522000*,"0.750635 
(0.406582588927824)","0.339896 
(0.720600196667077)","16.833670 
(0.265150081251146)","0.749333 
(0.386687497007503)","1.016686 
(0.330416579954708)","0.964876 
(0.496449444106001)"
FDI_GDP <- ECI_SITC,"GDP_capita, GFCF_GDP, GovQualityIndex","Model 33.FDI_GDP/(ECI_SITC, GDP_capita, GFCF_GDP, GovQualityIndex)",33,"-8.580e+00 
(1.092e+01)","1.685e+01 
(1.563e+01)",-,"-3.877e+00* 
(1.813e+00)",-,"-1.348e-04 
(3.779e-04)",-,"6.665e-01 
(4.309e-01)",0.5027,2.685000*,"0.875779 
(0.373789508170442)","0.481214 
(0.634829922768303)","12.415439 
(0.647350269155218)","1.024284 
(0.311504938578066)","7.0350932886681** 
(0.0199215374664731)","0.951715 
(0.254277895702098)"
FDI_GDP <- ECI_SITC,"GDP_capita, GFCF_GDP, ICT_Index","Model 34.FDI_GDP/(ECI_SITC, GDP_capita, GFCF_GDP, ICT_Index)",34,"-9.373e-01 
(8.968e+00)","1.438e+01 
(9.843e+00)",-,-,"-4.505e+00 
(2.712e+00)","8.131e-04* 
(4.250e-04)",-,"1.414e-01 
(4.362e-01)",0.3424,2.085000,"4.720783* 
(0.0505468082579952)","4.45770457096662** 
(0.0382048929379825)","16.995690 
(0.149759517848549)","0.700980 
(0.402454705614344)","7.29835320499722** 
(0.0157221257217116)","0.979322 
(0.859219171291197)"
FDI_GDP <- ECI_SITC,"GDP_capita, GovQualityIndex, School_enrollment","Model 35.FDI_GDP/(ECI_SITC, GDP_capita, GovQualityIndex, School_enrollment)",35,"-5.918e+00 
(1.459e+01)","1.847e+01 
(1.717e+01)",-,"-6.934e+00*** 
(1.553e+00)",-,"-8.227e-04** 
(3.125e-04)","1.146e-01 
(2.046e-01)",-,0.8252,7.942000***,"1.429638 
(0.270751627132814)","0.750526 
(0.511784521246629)","19.511630 
(0.299967058171548)","0.444272 
(0.505067945450902)","4.056685* 
(0.0691101408209232)","0.990319 
(0.995756043156789)"
FDI_GDP <- ECI_SITC,"GDP_capita, GovQualityIndex, ICT_Index","Model 37.FDI_GDP/(ECI_SITC, GDP_capita, GovQualityIndex, ICT_Index)",37,"1.110e+01 
(8.917e+00)","2.869e+01 
(2.203e+01)",-,"-7.252e+00* 
(3.242e+00)","3.577e+00 
(4.141e+00)","-8.095e-04 
(7.136e-04)",-,-,0.4237,2.081000,"1.380152 
(0.278485924285293)","1.345690 
(0.328993636314212)","15.509824 
(0.558810004245152)","0.418747 
(0.51756302385749)","8.49708300966402** 
(0.0140633035403468)","0.963846 
(0.472821069884332)"
FDI_GDP <- ECI_SITC,"GFCF_GDP, GovQualityIndex, School_enrollment","Model 38.FDI_GDP/(ECI_SITC, GFCF_GDP, GovQualityIndex, School_enrollment)",38,"-1.684e+01 
(1.910e+01)","6.796e+00 
(1.793e+01)",-,"-4.868e-01 
(1.398e+00)",-,-,"-6.675e-04 
(2.143e-01)","1.033e+00** 
(4.058e-01)",0.409,2.442000*,"0.024448 
(0.878351194238008)","0.026888 
(0.973534372526409)","12.767880 
(0.386135580236045)","1.184443 
(0.276453382927296)","0.011424 
(0.916209509106076)","0.973662 
(0.719381491786226)"
FDI_GDP <- ECI_SITC,"GFCF_GDP, ICT_Index, School_enrollment","Model 39.FDI_GDP/(ECI_SITC, GFCF_GDP, ICT_Index, School_enrollment)",39,"99.65309** 
(33.16155)","-37.64876** 
(14.75359)",-,-,"3.61169 
(2.14906)",-,"-0.99560*** 
(0.30797)","-0.67532 
(0.47828)",0.5108,3.008000**,"0.966461 
(0.346693291578639)","0.829183 
(0.464313844232971)","15.897768 
(0.254694462387443)","0.989907 
(0.319765115780927)","1.206931 
(0.289262227835024)","0.957334 
(0.341801027762957)"
FDI_GDP <- ECI_SITC,"GFCF_GDP, GovQualityIndex, ICT_Index","Model 40.FDI_GDP/(ECI_SITC, GFCF_GDP, GovQualityIndex, ICT_Index)",40,"-23.30812* 
(11.38666)","-1.15079 
(12.61175)",-,"1.13429 
(1.40080)","0.04887 
(1.87647)",-,-,"1.30029** 
(0.51148)",0.3827,2.192000*,"0.278419 
(0.608218006644095)","0.241275 
(0.790069616253839)","14.944157 
(0.31085193131763)","1.393844 
(0.237756956899007)","2.028186 
(0.174875292266072)","0.969745 
(0.616708046759183)"
FDI_GDP <- ECI_SITC,"GovQualityIndex, ICT_Index, School_enrollment","Model 41.FDI_GDP/(ECI_SITC, GovQualityIndex, ICT_Index, School_enrollment)",41,"154.7488*** 
(38.3427)","6.5050 
(20.0275)",-,"-4.0277** 
(1.6950)","16.9377*** 
(4.5422)",-,"-1.5314*** 
(0.4095)",-,0.5918,3.132000*,"0.426246 
(0.534683153739009)","0.229491 
(0.801607023696627)","20.574090 
(0.245922607246211)","0.005159 
(0.942742861728699)","2.598882 
(0.135236037243664)","0.978488 
(0.840335399578607)"
FDI_GDP <- ECI_SITC,"GDP_capita, GFCF_GDP, School_enrollment, Trade_GDP","Model 42.FDI_GDP/(ECI_SITC, GDP_capita, GFCF_GDP, School_enrollment, Trade_GDP)",42,"8.765e+01 
(6.688e+01)","-6.957e+01 
(5.097e+01)",-,-,-,"1.001e-03* 
(4.665e-04)","-1.551e+00 
(8.192e-01)","-2.624e-01 
(9.440e-01)",0.7038,3.828000,"1.072187 
(0.376596171639117)","0.742203 
(0.573985866252159)","16.672999 
(0.73072773753239)","0.496372 
(0.481098420709818)","1.469342 
(0.260031045746004)","0.944171 
(0.168886794807961)"
FDI_GDP <- ECI_SITC,"GDP_capita, GFCF_GDP, GovQualityIndex, Trade_GDP","Model 43.FDI_GDP/(ECI_SITC, GDP_capita, GFCF_GDP, GovQualityIndex, Trade_GDP)",43,"-5.317e+01** 
(1.510e+01)","3.097e+01* 
(1.270e+01)","2.502e-01** 
(8.615e-02)","-1.359e+00 
(1.416e+00)",-,"6.080e-04* 
(2.613e-04)",-,"2.051e+00*** 
(5.268e-01)",0.772,5.456000**,"2.391317 
(0.182678891129338)","0.977098 
(0.451308768635437)","11.968122 
(0.886983411636529)","0.218729 
(0.640010088373062)","0.297332 
(0.597510976564058)","0.90452794632441** 
(0.019789094834614)"
FDI_GDP <- ECI_SITC,"GDP_capita, GovQualityIndex, School_enrollment, Trade_GDP","Model 45.FDI_GDP/(ECI_SITC, GDP_capita, GovQualityIndex, School_enrollment, Trade_GDP)",45,"-9.474e+00 
(1.813e+01)","1.686e+01 
(1.513e+01)",-,"-7.233e+00** 
(1.852e+00)",-,"-1.007e-03 
(5.376e-04)","1.272e-01 
(2.942e-01)",-,0.9325,16.700000**,"1.302129 
(0.372042937087098)","4.977044 
(0.30214255927639)","17.649471 
(0.726557070599133)","0.056587 
(0.811973754482187)","0.009306 
(0.925853054367301)","0.959172 
(0.37549550507629)"
FDI_GDP <- ECI_SITC,"GDP_capita, ICT_Index, School_enrollment, Trade_GDP","Model 46.FDI_GDP/(ECI_SITC, GDP_capita, ICT_Index, School_enrollment, Trade_GDP)",46,"7.321e+01* 
(3.381e+01)","4.455e+00 
(1.362e+01)","-1.927e-02 
(1.216e-01)",-,"5.821e+00 
(5.492e+00)","4.664e-04 
(4.135e-04)","-7.680e-01** 
(2.762e-01)",-,0.8052,7.079000***,"0.839125 
(0.390113324844209)","0.446688 
(0.659413552032965)","18.162953 
(0.378631091478842)","0.071699 
(0.788879569532606)","0.042333 
(0.840434810039604)","0.980367 
(0.881604820078403)"
FDI_GDP <- ECI_SITC,"GDP_capita, GovQualityIndex, ICT_Index, Trade_GDP","Model 47.FDI_GDP/(ECI_SITC, GDP_capita, GovQualityIndex, ICT_Index, Trade_GDP)",47,"-3.273e+00 
(1.074e+01)","2.179e+01 
(1.384e+01)","1.883e-01* 
(8.584e-02)","-1.033e+01*** 
(2.719e+00)","1.746e+00 
(3.524e+00)","-1.175e-03 
(6.506e-04)",-,-,0.8049,6.427000**,"8.33579979126294** 
(0.0342995014402142)","4.415305* 
(0.097190849022906)","17.662772 
(0.545059126985286)","0.855117 
(0.355108891989573)","0.150700 
(0.706003693703526)","0.970664 
(0.640600370737473)"
FDI_GDP <- ECI_SITC,"GFCF_GDP, GovQualityIndex, ICT_Index, Trade_GDP","Model 50.FDI_GDP/(ECI_SITC, GFCF_GDP, GovQualityIndex, ICT_Index, Trade_GDP)",50,"-53.1211** 
(18.0389)","16.3067 
(24.0541)","0.2365* 
(0.1115)","-1.8978 
(1.7717)","1.7915 
(3.3645)",-,-,"2.0754*** 
(0.4677)",0.7563,5.083000**,"0.437863 
(0.537428129940268)","0.968882 
(0.453810095501136)","21.288731 
(0.321068495939391)","2.516873 
(0.112633747561492)","0.000029 
(0.995790791225914)","0.979869 
(0.871129922067982)"
FDI_GDP <- ECI_SITC,"GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP","Model 51.FDI_GDP/(ECI_SITC, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP)",51,"103.02672*** 
(11.80179)","21.94917 
(12.44982)",-,"-2.18919* 
(0.79446)",-,-,-,-,0.9598,28.150000***,"0.177422 
(0.714548559852522)","0.751749 
(0.632013453925981)","13.877226 
(0.905779289287947)","0.331364 
(0.564856991171245)","0.215467 
(0.656606075154987)","0.854719*** 
(0.00175858610916434)"
FDI_GDP <- ECI_SITC,"GDP_capita, GFCF_GDP, GovQualityIndex, School_enrollment","Model 52.FDI_GDP/(ECI_SITC, GDP_capita, GFCF_GDP, GovQualityIndex, School_enrollment)",52,"1.660e+01 
(5.123e+01)","2.473e+01 
(2.160e+01)",-,-,-,"-7.655e-04 
(4.004e-04)",-,-,0.8317,6.615000*,"8.436072 
(0.100913232150331)","6.321560 
(0.270734217860348)","23.692340 
(0.363560495298536)","0.592865 
(0.44131345412144)","2.731789 
(0.142348366620317)","0.981128 
(0.896899211462063)"
FDI_GDP <- ECI_SITC,"GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index","Model 54.FDI_GDP/(ECI_SITC, GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index)",54,"-2.024e+01 
(1.227e+01)","3.667e+01 
(2.304e+01)",-,"-1.124e+01** 
(3.243e+00)",-,"-3.078e-03** 
(9.030e-04)",-,"2.394e+00** 
(6.644e-01)",0.7165,4.009000*,"5.341300 
(0.103923929687104)","3.059980 
(0.246306643112273)","22.326555 
(0.380905901544541)","0.869853 
(0.350996018545566)","0.150163 
(0.70848529879077)","0.955092 
(0.304149039665309)"
