Main,Control,Specification,id,Constant,FDI,TRADE,GQI,ICT,GDPPC,SE,GFCF,Adj_R,F_stat,AR1,AR2,BP,Arch,Ramsey_Reset,SW_Normality
ECI_SITC <- FDI_GDP,"GDP_capita, ICT_Index","Model 15.ECI_SITC/(FDI_GDP, GDP_capita, ICT_Index)",15,"-3.659e-01*** 
(1.034e-01)","2.864e-02** 
(1.121e-02)",-,-,"6.834e-02 
(7.240e-02)","-3.970e-05** 
(1.421e-05)",-,-,0.7262,5.547000***,"0.134293 
(0.722488290946519)","0.377472 
(0.697182667194818)","16.005603 
(0.313032249014592)","0.131535 
(0.716845972947249)","0.004294 
(0.948832986811041)","0.968347 
(0.603503426803952)"
ECI_SITC <- FDI_GDP,"GFCF_GDP, School_enrollment","Model 16.ECI_SITC/(FDI_GDP, GFCF_GDP, School_enrollment)",16,"3.490812*** 
(0.752216)","-0.001538 
(0.017876)",-,-,-,-,"-0.037529*** 
(0.008986)","-0.043697 
(0.027391)",0.5949,3.349000**,"0.000334 
(0.98586771486461)","0.130104 
(0.880078816302653)","13.302434 
(0.57895055378991)","0.032089 
(0.857831598977303)","0.115097 
(0.740802410562845)","0.941867 
(0.163469708455756)"
ECI_SITC <- FDI_GDP,"GFCF_GDP, GovQualityIndex","Model 17.ECI_SITC/(FDI_GDP, GFCF_GDP, GovQualityIndex)",17,"2.666212*** 
(0.771117)","0.088295** 
(0.027496)",-,"0.015463 
(0.049587)",-,-,-,"-0.153856*** 
(0.043164)",0.4955,2.571000*,"0.618140 
(0.454394994940721)","3.015178 
(0.113630836275568)","15.506654 
(0.415574485302074)","0.458225 
(0.498454695925589)","0.013321 
(0.91019340534914)","0.917044279462349** 
(0.0438947464522175)"
ECI_SITC <- FDI_GDP,"GFCF_GDP, ICT_Index","Model 18.ECI_SITC/(FDI_GDP, GFCF_GDP, ICT_Index)",18,"1.14866* 
(0.51294)","0.01801 
(0.01619)",-,-,"0.37826** 
(0.12666)",-,-,"-0.04881 
(0.02596)",0.725,4.515000**,"1.236383 
(0.316754079523893)","0.915167 
(0.470687904110863)","14.373955 
(0.704408427223025)","0.043482 
(0.834820817794328)","4.923437* 
(0.0572819281726403)","0.942617 
(0.170107816854445)"
ECI_SITC <- FDI_GDP,"GovQualityIndex, School_enrollment","Model 19.ECI_SITC/(FDI_GDP, GovQualityIndex, School_enrollment)",19,"1.4055318 
(0.7543578)","-0.0290317 
(0.0169169)",-,"0.1273286 
(0.0725896)",-,-,"-0.0244275* 
(0.0109049)",-,0.4637,2.153000,"1.369838 
(0.294583297226982)","0.697422 
(0.54974612267704)","15.234913 
(0.64577890406922)","0.133516 
(0.714813584745765)","0.013664 
(0.909826957217775)","0.960166 
(0.417796034751433)"
ECI_SITC <- FDI_GDP,"ICT_Index, School_enrollment","Model 20.ECI_SITC/(FDI_GDP, ICT_Index, School_enrollment)",20,"1.283653* 
(0.675265)","-0.007396 
(0.009553)",-,-,"0.011804 
(0.047175)",-,"-0.021335** 
(0.008176)",-,0.5305,2.695000*,"0.000100 
(0.992314702693947)","0.259590 
(0.779605079921469)","18.584119 
(0.290817808801869)","1.886609 
(0.1695848510068)","0.001101 
(0.974185027676348)","0.977408 
(0.829401182949342)"
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, Trade_GDP","Model 22.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, Trade_GDP)",22,"-4.590e-01 
(2.890e-01)","3.557e-03 
(7.324e-03)","-1.907e-04 
(2.354e-03)",-,-,"-2.497e-05*** 
(5.876e-06)",-,"1.192e-02 
(8.506e-03)",0.5833,4.033000***,"0.373953 
(0.551401862695022)","0.210087 
(0.813432315129152)","7.717842 
(0.806773184182473)","1.290225 
(0.256006480176693)","1.156062 
(0.29730765873099)","0.964709 
(0.469863617941572)"
ECI_SITC <- FDI_GDP,"GDP_capita, School_enrollment, Trade_GDP","Model 23.ECI_SITC/(FDI_GDP, GDP_capita, School_enrollment, Trade_GDP)",23,"5.916e-01* 
(2.970e-01)","-1.333e-02 
(1.043e-02)","3.305e-03 
(2.924e-03)",-,-,"-1.009e-05 
(7.817e-06)","-1.257e-02** 
(5.061e-03)",-,0.6676,5.017000***,"0.039826 
(0.845163057528637)","0.021466 
(0.978803596692983)","4.815673 
(0.979029700270395)","1.179108 
(0.277537682658221)","0.478199 
(0.499151363420191)","0.920787496700157** 
(0.0412440971346195)"
ECI_SITC <- FDI_GDP,"GDP_capita, GovQualityIndex, Trade_GDP","Model 24.ECI_SITC/(FDI_GDP, GDP_capita, GovQualityIndex, Trade_GDP)",24,"-1.031e-01 
(9.408e-02)","1.813e-02*** 
(4.902e-03)","2.587e-03 
(1.583e-03)","-1.478e-01*** 
(3.086e-02)",-,"-2.072e-05*** 
(4.312e-06)",-,-,0.8913,13.060000***,"3.921415* 
(0.0881484808785652)","1.762961 
(0.249880718826348)","22.380927 
(0.170509773027606)","3.516417* 
(0.0607636755558204)","4.463446* 
(0.0583047090019671)","0.975854 
(0.77610847140244)"
ECI_SITC <- FDI_GDP,"GDP_capita, ICT_Index, Trade_GDP","Model 25.ECI_SITC/(FDI_GDP, GDP_capita, ICT_Index, Trade_GDP)",25,"-9.351e-01** 
(3.558e-01)","-5.845e-03 
(8.338e-03)","6.541e-03 
(3.745e-03)",-,"-2.156e-01** 
(8.798e-02)","-3.158e-06 
(1.302e-05)",-,-,0.6647,4.682000***,"1.160705 
(0.304379312154582)","0.634744 
(0.55014725453031)","4.932477 
(0.986730361688578)","0.380423 
(0.537377183141323)","2.347909 
(0.146268127384156)","0.849507*** 
(0.00112622778447647)"
ECI_SITC <- FDI_GDP,"GFCF_GDP, School_enrollment, Trade_GDP","Model 26.ECI_SITC/(FDI_GDP, GFCF_GDP, School_enrollment, Trade_GDP)",26,"2.207744** 
(0.685498)","-0.056785*** 
(0.011201)","0.010822** 
(0.002378)",-,-,-,"-0.044866*** 
(0.006282)","0.019200 
(0.021238)",0.9141,13.760000**,"0.295192 
(0.624683400256277)","1.518244 
(0.397102180777027)","18.090034 
(0.581477238064943)","0.414676 
(0.519605575784908)","0.525675 
(0.491950032265867)","0.943598 
(0.179175677886218)"
ECI_SITC <- FDI_GDP,"GFCF_GDP, GovQualityIndex, Trade_GDP","Model 27.ECI_SITC/(FDI_GDP, GFCF_GDP, GovQualityIndex, Trade_GDP)",27,"-2.051320** 
(0.853663)","-0.039299 
(0.022876)","0.013577** 
(0.004732)","-0.048683 
(0.049790)",-,-,-,"0.061198* 
(0.030069)",0.2702,1.617000,"0.146544 
(0.710744012717133)","0.669110 
(0.538645945793166)","18.266413 
(0.248918583350687)","1.400401 
(0.236656460097998)","2.332528 
(0.150654127155967)","0.966485 
(0.534725710296625)"
ECI_SITC <- FDI_GDP,"GFCF_GDP, ICT_Index, Trade_GDP","Model 28.ECI_SITC/(FDI_GDP, GFCF_GDP, ICT_Index, Trade_GDP)",28,"-1.075923** 
(0.417294)","-0.006469 
(0.008709)","0.008209** 
(0.003172)",-,"-0.157845*** 
(0.052308)",-,-,"0.008938 
(0.011120)",0.3606,2.222000*,"0.059814 
(0.810607498985752)","1.495752 
(0.26303660178516)","12.856975 
(0.379521575494619)","1.273991 
(0.259019281893084)","0.861361 
(0.366348802485183)","0.959549 
(0.360939046412069)"
ECI_SITC <- FDI_GDP,"GovQualityIndex, School_enrollment, Trade_GDP","Model 29.ECI_SITC/(FDI_GDP, GovQualityIndex, School_enrollment, Trade_GDP)",29,"0.7792861 
(0.4984206)","-0.0086480 
(0.0178596)","0.0071634 
(0.0040161)","-0.0480006 
(0.0499999)",-,-,"-0.0163195 
(0.0087849)",-,0.612,3.191000*,"1.609246 
(0.251591396355316)","1.064533 
(0.411948911329969)","15.204716 
(0.64786582893616)","0.795251 
(0.37251711943088)","0.104114 
(0.753592343679341)","0.952878 
(0.270562935367641)"
ECI_SITC <- FDI_GDP,"ICT_Index, School_enrollment, Trade_GDP","Model 30.ECI_SITC/(FDI_GDP, ICT_Index, School_enrollment, Trade_GDP)",30,"0.9429908 
(0.9715243)","-0.0274352* 
(0.0115700)","0.0132436** 
(0.0040911)",-,"-0.1010644 
(0.1003973)",-,"-0.0298560** 
(0.0087832)",-,0.8117,6.445000**,"4.987129* 
(0.0892942785256559)","1.873709 
(0.296466408699335)","19.730745 
(0.410940892154181)","1.775455 
(0.182708414486304)","0.006030 
(0.940009544209473)","0.973814 
(0.742163599606448)"
ECI_SITC <- FDI_GDP,"GovQualityIndex, ICT_Index, Trade_GDP","Model 31.ECI_SITC/(FDI_GDP, GovQualityIndex, ICT_Index, Trade_GDP)",31,"-2.619849*** 
(0.442642)","-0.029173** 
(0.009556)","0.017701*** 
(0.003320)","0.117443* 
(0.055902)","-0.537468*** 
(0.097100)",-,-,-,0.7672,5.164000**,"0.916028 
(0.392719244379858)","3.729692 
(0.153611121633417)","22.648277 
(0.253189123251959)","0.022731 
(0.880159435159136)","2.208822 
(0.175531391747801)","0.959033 
(0.395546820059097)"
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, School_enrollment","Model 32.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, School_enrollment)",32,"-2.235e+00 
(1.716e+00)","8.436e-03 
(1.238e-02)",-,-,-,"-4.094e-05** 
(1.714e-05)","1.308e-02 
(1.474e-02)","4.674e-02 
(2.955e-02)",0.5862,2.968000*,"2.321765 
(0.178410209861087)","1.013407 
(0.427099199367223)","16.805973 
(0.536480980099868)","1.658787 
(0.197767165783884)","0.259166 
(0.621737784633837)","0.969129 
(0.600861028507517)"
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, GovQualityIndex","Model 33.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, GovQualityIndex)",33,"3.700e-01 
(3.929e-01)","3.412e-02** 
(1.390e-02)",-,"-1.375e-01** 
(4.926e-02)",-,"-2.009e-05** 
(7.318e-06)",-,"-1.840e-02 
(1.652e-02)",0.6997,4.236000**,"1.480080 
(0.269443327105149)","0.730924 
(0.526663358307832)","16.747278 
(0.540540258045185)","0.035659 
(0.850222227941961)","0.152181 
(0.70464014811056)","0.930785* 
(0.0809028603025333)"
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, ICT_Index","Model 34.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, ICT_Index)",34,"-6.354e-01 
(3.481e-01)","-5.425e-03 
(1.017e-02)",-,-,"1.507e-02 
(1.115e-01)","-2.348e-05 
(1.864e-05)",-,"2.493e-02 
(2.076e-02)",0.5675,2.930000*,"1.195473 
(0.310420875226548)","0.844226 
(0.475266396088338)","17.318109 
(0.433023534848286)","0.311110 
(0.576999685858889)","0.072710 
(0.792422935659777)","0.964137 
(0.479426190479145)"
ECI_SITC <- FDI_GDP,"GDP_capita, GovQualityIndex, School_enrollment","Model 35.ECI_SITC/(FDI_GDP, GDP_capita, GovQualityIndex, School_enrollment)",35,"-3.077e-01 
(3.306e-01)","3.528e-02*** 
(8.782e-03)",-,"-1.683e-01*** 
(3.396e-02)",-,"-2.503e-05*** 
(4.828e-06)","4.320e-03 
(4.683e-03)",-,0.8909,13.010000***,"1.646685 
(0.240258428205487)","0.946139 
(0.439386337343434)","15.295638 
(0.57419641281953)","1.679210 
(0.1950294696811)","0.472831 
(0.505927942826618)","0.972233 
(0.681801101527959)"
ECI_SITC <- FDI_GDP,"GDP_capita, ICT_Index, School_enrollment","Model 36.ECI_SITC/(FDI_GDP, GDP_capita, ICT_Index, School_enrollment)",36,"-2.424e-01 
(4.549e-01)","5.009e-03 
(7.020e-03)",-,-,"-1.103e-01 
(6.452e-02)","-3.894e-06 
(7.333e-06)","-9.220e-04 
(4.881e-03)",-,0.6668,5.336000***,"1.292116 
(0.276178188423199)","0.665088 
(0.532196469637803)","5.572909 
(0.936064762177912)","0.227653 
(0.633269763336366)","2.054627 
(0.169880471586467)","0.898463409197793** 
(0.0123376880579808)"
ECI_SITC <- FDI_GDP,"GDP_capita, GovQualityIndex, ICT_Index","Model 37.ECI_SITC/(FDI_GDP, GDP_capita, GovQualityIndex, ICT_Index)",37,"2.113e-01 
(2.497e-01)","3.384e-02* 
(1.527e-02)",-,"-1.790e-01* 
(8.485e-02)","1.276e-01 
(1.086e-01)","-3.786e-05** 
(1.513e-05)",-,-,0.6796,3.946000**,"1.813776 
(0.226697079287498)","1.144685 
(0.389672675405445)","22.666024 
(0.203752064550347)","0.000001 
(0.999307945983537)","0.486678 
(0.501310435335193)","0.977238 
(0.810582285807466)"
ECI_SITC <- FDI_GDP,"GFCF_GDP, ICT_Index, School_enrollment","Model 39.ECI_SITC/(FDI_GDP, GFCF_GDP, ICT_Index, School_enrollment)",39,"2.877002*** 
(0.801903)","-0.013617* 
(0.007523)",-,-,"0.097565 
(0.057886)",-,"-0.028292*** 
(0.007347)","-0.029806** 
(0.011639)",0.5,3.166000**,"2.768953 
(0.120013697036038)","1.997183 
(0.17835494138873)","8.658351 
(0.731801501929604)","1.735310 
(0.187734184316932)","0.085962 
(0.772923126552172)","0.969773 
(0.595836396188008)"
ECI_SITC <- FDI_GDP,"GFCF_GDP, GovQualityIndex, ICT_Index","Model 40.ECI_SITC/(FDI_GDP, GFCF_GDP, GovQualityIndex, ICT_Index)",40,"0.368514 
(0.511163)","0.008654 
(0.017518)",-,"0.092562 
(0.063090)","-0.160728** 
(0.069720)",-,-,"-0.036813 
(0.022257)",0.2391,1.561000,"0.766907 
(0.401721282684107)","0.848817 
(0.459511698074926)","16.512765 
(0.283072758493151)","0.134925 
(0.713379171275852)","0.006890 
(0.935024161247276)","0.961541 
(0.42277560985642)"
ECI_SITC <- FDI_GDP,"GovQualityIndex, ICT_Index, School_enrollment","Model 41.ECI_SITC/(FDI_GDP, GovQualityIndex, ICT_Index, School_enrollment)",41,"-2.729578 
(1.863835)","0.030317 
(0.022578)",-,"0.090353 
(0.061777)","-0.381984* 
(0.193688)",-,"0.024540 
(0.019480)",-,0.5492,2.791000*,"2.358030 
(0.168516693656714)","1.200578 
(0.364281065534416)","16.714042 
(0.473896869147442)","0.098457 
(0.753688923537582)","0.878003 
(0.368866270206732)","0.959925 
(0.390061367896683)"
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, School_enrollment, Trade_GDP","Model 42.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, School_enrollment, Trade_GDP)",42,"1.050e+01 
(4.712e+00)","-1.501e-01* 
(5.552e-02)","3.621e-02* 
(1.275e-02)",-,-,"6.219e-05 
(3.814e-05)","-1.270e-01* 
(5.065e-02)","-1.441e-01 
(7.424e-02)",0.774,4.892000,"0.836309 
(0.456991412031933)","0.979504 
(0.581335539979437)","21.177653 
(0.509783160708432)","0.346194 
(0.556275563137838)","2.322372 
(0.171347884786441)","0.948924 
(0.218798698474982)"
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, GovQualityIndex, Trade_GDP","Model 43.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, GovQualityIndex, Trade_GDP)",43,"8.057e-02 
(2.599e-01)","2.202e-02** 
(7.536e-03)","2.006e-03 
(1.878e-03)","-1.517e-01*** 
(3.430e-02)",-,"-2.101e-05*** 
(4.741e-06)",-,"-6.702e-03 
(9.378e-03)",0.8694,9.756000***,"7.45786283430736** 
(0.0412356405630272)","3.150168 
(0.150805483815594)","22.504394 
(0.259876853945746)","6.33222754118889** 
(0.0118563308623343)","6.03599169710685** 
(0.0338599396557752)","0.980888 
(0.892176117624796)"
ECI_SITC <- FDI_GDP,"GDP_capita, GovQualityIndex, School_enrollment, Trade_GDP","Model 45.ECI_SITC/(FDI_GDP, GDP_capita, GovQualityIndex, School_enrollment, Trade_GDP)",45,"-3.577e-01 
(2.994e-01)","3.593e-02** 
(9.070e-03)","-2.136e-04 
(1.713e-03)","-1.485e-01*** 
(1.863e-02)",-,"-2.440e-05** 
(5.737e-06)","5.230e-03 
(4.980e-03)",-,0.9721,40.630000***,"1.466613 
(0.349563280696505)","1.416430 
(0.510785503391804)","22.906236 
(0.407040327780867)","0.635807 
(0.425233076222111)","0.149343 
(0.710642716174361)","0.968421 
(0.582818217174238)"
ECI_SITC <- FDI_GDP,"GDP_capita, ICT_Index, School_enrollment, Trade_GDP","Model 46.ECI_SITC/(FDI_GDP, GDP_capita, ICT_Index, School_enrollment, Trade_GDP)",46,"-2.632e-01 
(4.787e-01)","-2.823e-03 
(9.188e-03)","4.131e-03 
(3.391e-03)",-,"-1.389e-01* 
(7.767e-02)","-6.686e-07 
(1.078e-05)","-4.779e-03 
(5.693e-03)",-,0.6623,4.643000***,"0.940511 
(0.352987416019622)","0.623298 
(0.555769225285761)","5.264066 
(0.981787586532501)","0.370972 
(0.542475050464775)","1.589956 
(0.225409605216374)","0.850435*** 
(0.00117488077682676)"
ECI_SITC <- FDI_GDP,"GDP_capita, GovQualityIndex, ICT_Index, Trade_GDP","Model 47.ECI_SITC/(FDI_GDP, GDP_capita, GovQualityIndex, ICT_Index, Trade_GDP)",47,"2.640e-02 
(2.080e-01)","2.763e-02** 
(7.620e-03)","2.416e-03 
(1.978e-03)","-2.141e-01*** 
(4.178e-02)","7.197e-02 
(6.407e-02)","-3.421e-05** 
(1.010e-05)",-,-,0.9191,15.190000***,"8.17493210831267** 
(0.0459673396076627)","9.190109* 
(0.0525610116348784)","20.036598 
(0.455642417287523)","6.24058820985112** 
(0.0124855001784723)","3.791055* 
(0.0833589012346094)","0.968437 
(0.583231269732724)"
ECI_SITC <- FDI_GDP,"GFCF_GDP, GovQualityIndex, School_enrollment, Trade_GDP","Model 48.ECI_SITC/(FDI_GDP, GFCF_GDP, GovQualityIndex, School_enrollment, Trade_GDP)",48,"-2.4610789 
(3.8540602)","-0.0313122 
(0.0177497)","0.0070568 
(0.0070823)","0.0409593 
(0.0754734)",-,-,"0.0003485 
(0.0315768)","0.0892033 
(0.0865868)",0.8792,9.273000**,"0.268238 
(0.656112790306718)","5.821957 
(0.281228445234529)","23.395858 
(0.379673303614289)","0.127234 
(0.721317716088499)","0.000146 
(0.99068755598291)","0.968704 
(0.590003796888591)"
ECI_SITC <- FDI_GDP,"GFCF_GDP, ICT_Index, School_enrollment, Trade_GDP","Model 49.ECI_SITC/(FDI_GDP, GFCF_GDP, ICT_Index, School_enrollment, Trade_GDP)",49,"-0.5439362 
(2.4459945)","-0.0341450 
(0.0221588)","0.0087222 
(0.0065851)",-,"0.1313327 
(0.2049381)",-,"-0.0157615 
(0.0213744)","0.0641214 
(0.0641265)",0.7514,4.434000,"1.198164 
(0.387920575588136)","0.302999 
(0.789091927589907)","23.023157 
(0.400422990341911)","0.674996 
(0.411315190421698)","1.615659 
(0.244304783961841)","0.966083 
(0.525016642851546)"
ECI_SITC <- FDI_GDP,"GFCF_GDP, GovQualityIndex, ICT_Index, Trade_GDP","Model 50.ECI_SITC/(FDI_GDP, GFCF_GDP, GovQualityIndex, ICT_Index, Trade_GDP)",50,"-1.9779830** 
(0.6868383)","-0.0371283* 
(0.0169766)","0.0107906** 
(0.0039673)","0.0307783 
(0.0419514)","-0.1357197* 
(0.0655019)",-,-,"0.0447418* 
(0.0242613)",0.3159,1.801000,"0.477863 
(0.505122648846636)","4.032750* 
(0.0561766290052471)","17.030745 
(0.317029810832338)","0.094608 
(0.75839837430264)","2.643124 
(0.124819412773314)","0.949173 
(0.2046880097322)"
ECI_SITC <- FDI_GDP,"GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP","Model 51.ECI_SITC/(FDI_GDP, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP)",51,"6.343248*** 
(1.358937)","0.016306 
(0.010125)","-0.003874 
(0.003421)","-0.144070* 
(0.053881)","0.687124** 
(0.175128)",-,"-0.062895*** 
(0.011441)",-,0.8353,7.037000**,"0.042519 
(0.849833971449254)","0.558077 
(0.641816972751326)","16.809204 
(0.72260513990647)","0.666314 
(0.414339833266681)","0.018863 
(0.894154861882918)","0.938139 
(0.121231073248646)"
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, GovQualityIndex, School_enrollment","Model 52.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, GovQualityIndex, School_enrollment)",52,"4.558e-01 
(1.083e+00)","4.081e-02** 
(9.470e-03)",-,"-1.848e-01** 
(3.394e-02)",-,"-1.762e-05 
(7.683e-06)","2.704e-04 
(8.527e-03)","-1.899e-02 
(2.294e-02)",0.9139,13.060000**,"7.148460 
(0.11604074225322)","6.585728 
(0.265639575599168)","24.564215 
(0.318364544657249)","0.774847 
(0.378721807050454)","0.575699 
(0.47277243371574)","0.975242 
(0.760450220752458)"
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index","Model 54.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index)",54,"-3.370e-01 
(3.065e-01)","2.847e-02* 
(1.173e-02)",-,"-2.789e-01** 
(8.150e-02)","4.444e-01** 
(1.470e-01)","-7.477e-05** 
(1.998e-05)",-,"5.190e-02** 
(2.004e-02)",0.8233,6.825000**,"7.172592* 
(0.0553337554218062)","3.416711 
(0.168509664436869)","25.315930 
(0.189610626146706)","1.440166 
(0.230112449307997)","0.807685 
(0.392214873311999)","0.962056 
(0.433601562965804)"
ECI_SITC <- FDI_GDP,"GDP_capita, GovQualityIndex, ICT_Index, School_enrollment","Model 55.ECI_SITC/(FDI_GDP, GDP_capita, GovQualityIndex, ICT_Index, School_enrollment)",55,"-1.374e-02 
(8.641e-01)","3.370e-02* 
(1.242e-02)",-,"-1.577e-01** 
(4.935e-02)","4.771e-02 
(1.098e-01)","-2.913e-05** 
(9.939e-06)","1.281e-03 
(9.277e-03)",-,0.8804,9.761000**,"13.1173146875395** 
(0.0362019399796226)","5.008253 
(0.166437735227691)","18.775583 
(0.59953369270226)","0.929138 
(0.335087051497891)","0.169504 
(0.691362833043421)","0.965489 
(0.510843695782435)"
