Main,Control,Especificación,id,max_lag,Estadístico,cval1_I0,cval1_I1,cval5_I0,cval5_I1,cval10_I0,cval10_I1,conclusion
ECI_SITC <- FDI_GDP,"ICT_Index, Trade_GDP","Model 11.ECI_SITC/(FDI_GDP, ICT_Index, Trade_GDP)",11,"(4,3,4,4)",6074.127250***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP","Model 12.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP)",12,"(4,3,2,1)",461.237433***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, School_enrollment","Model 13.ECI_SITC/(FDI_GDP, GDP_capita, School_enrollment)",13,"(4,2,4,1)",21406.548745***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, GovQualityIndex","Model 14.ECI_SITC/(FDI_GDP, GDP_capita, GovQualityIndex)",14,"(3,2,3,3)",42.671913***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, ICT_Index","Model 15.ECI_SITC/(FDI_GDP, GDP_capita, ICT_Index)",15,"(4,3,2,2)",143.507479***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
ECI_SITC <- FDI_GDP,"GFCF_GDP, School_enrollment","Model 16.ECI_SITC/(FDI_GDP, GFCF_GDP, School_enrollment)",16,"(4,2,4,2)",82.393231***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
ECI_SITC <- FDI_GDP,"GFCF_GDP, GovQualityIndex","Model 17.ECI_SITC/(FDI_GDP, GFCF_GDP, GovQualityIndex)",17,"(4,3,2,3)",41.357466***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
ECI_SITC <- FDI_GDP,"GFCF_GDP, ICT_Index","Model 18.ECI_SITC/(FDI_GDP, GFCF_GDP, ICT_Index)",18,"(4,3,4,4)",2515.950624***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
ECI_SITC <- FDI_GDP,"GovQualityIndex, School_enrollment","Model 19.ECI_SITC/(FDI_GDP, GovQualityIndex, School_enrollment)",19,"(4,4,3,4)",15.236964***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
ECI_SITC <- FDI_GDP,"ICT_Index, School_enrollment","Model 20.ECI_SITC/(FDI_GDP, ICT_Index, School_enrollment)",20,"(4,4,4,1)",31.345274***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
ECI_SITC <- FDI_GDP,"GovQualityIndex, ICT_Index","Model 21.ECI_SITC/(FDI_GDP, GovQualityIndex, ICT_Index)",21,"(2,1,1,2)",2.461323,5.333,7.063,3.71,5.018,3.008,4.15,No cointeg
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, Trade_GDP","Model 22.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, Trade_GDP)",22,"(2,2,2,1,1)",84.776108***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, School_enrollment, Trade_GDP","Model 23.ECI_SITC/(FDI_GDP, GDP_capita, School_enrollment, Trade_GDP)",23,"(2,2,2,2,1)",43.683525***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, GovQualityIndex, Trade_GDP","Model 24.ECI_SITC/(FDI_GDP, GDP_capita, GovQualityIndex, Trade_GDP)",24,"(3,3,3,3,1)",1174.440688***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, ICT_Index, Trade_GDP","Model 25.ECI_SITC/(FDI_GDP, GDP_capita, ICT_Index, Trade_GDP)",25,"(2,2,2,2,2)",32.428899***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GFCF_GDP, School_enrollment, Trade_GDP","Model 26.ECI_SITC/(FDI_GDP, GFCF_GDP, School_enrollment, Trade_GDP)",26,"(4,1,3,4,4)",17.652451***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GFCF_GDP, GovQualityIndex, Trade_GDP","Model 27.ECI_SITC/(FDI_GDP, GFCF_GDP, GovQualityIndex, Trade_GDP)",27,"(3,2,3,2,1)",16.757803***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GFCF_GDP, ICT_Index, Trade_GDP","Model 28.ECI_SITC/(FDI_GDP, GFCF_GDP, ICT_Index, Trade_GDP)",28,"(2,2,1,2,1)",119.944301***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GovQualityIndex, School_enrollment, Trade_GDP","Model 29.ECI_SITC/(FDI_GDP, GovQualityIndex, School_enrollment, Trade_GDP)",29,"(3,3,3,3,2)",130.178075***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"ICT_Index, School_enrollment, Trade_GDP","Model 30.ECI_SITC/(FDI_GDP, ICT_Index, School_enrollment, Trade_GDP)",30,"(4,3,3,2,3)",8.099510***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GovQualityIndex, ICT_Index, Trade_GDP","Model 31.ECI_SITC/(FDI_GDP, GovQualityIndex, ICT_Index, Trade_GDP)",31,"(4,3,2,3,3)",7.708439***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, School_enrollment","Model 32.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, School_enrollment)",32,"(3,2,3,3,3)",541.286822***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, GovQualityIndex","Model 33.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, GovQualityIndex)",33,"(3,3,3,2,3)",353.619692***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, ICT_Index","Model 34.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, ICT_Index)",34,"(3,2,3,3,2)",5.575511**,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 5%
ECI_SITC <- FDI_GDP,"GDP_capita, GovQualityIndex, School_enrollment","Model 35.ECI_SITC/(FDI_GDP, GDP_capita, GovQualityIndex, School_enrollment)",35,"(3,3,3,3,1)",384.609505***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, ICT_Index, School_enrollment","Model 36.ECI_SITC/(FDI_GDP, GDP_capita, ICT_Index, School_enrollment)",36,"(2,2,2,1,1)",19.821457***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, GovQualityIndex, ICT_Index","Model 37.ECI_SITC/(FDI_GDP, GDP_capita, GovQualityIndex, ICT_Index)",37,"(3,3,3,3,2)",345.275592***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GFCF_GDP, GovQualityIndex, School_enrollment","Model 38.ECI_SITC/(FDI_GDP, GFCF_GDP, GovQualityIndex, School_enrollment)",38,"(4,3,3,3,2)",-25263990877,4.768,6.67,3.354,4.774,2.752,3.994,No cointeg
ECI_SITC <- FDI_GDP,"GFCF_GDP, ICT_Index, School_enrollment","Model 39.ECI_SITC/(FDI_GDP, GFCF_GDP, ICT_Index, School_enrollment)",39,"(2,1,1,2,2)",22.380332***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GFCF_GDP, GovQualityIndex, ICT_Index","Model 40.ECI_SITC/(FDI_GDP, GFCF_GDP, GovQualityIndex, ICT_Index)",40,"(2,3,1,3,1)",24.909752***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GovQualityIndex, ICT_Index, School_enrollment","Model 41.ECI_SITC/(FDI_GDP, GovQualityIndex, ICT_Index, School_enrollment)",41,"(2,2,3,3,3)",85.450334***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, School_enrollment, Trade_GDP","Model 42.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, School_enrollment, Trade_GDP)",42,"(3,2,3,3,3,3)",4.001986*,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 10%
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, GovQualityIndex, Trade_GDP","Model 43.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, GovQualityIndex, Trade_GDP)",43,"(3,3,3,1,3,1)",10.394970***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, ICT_Index, Trade_GDP","Model 44.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, ICT_Index, Trade_GDP)",44,"(3,3,3,3,2,3)",1.249373,4.537,6.37,3.125,4.608,2.578,3.858,No cointeg
ECI_SITC <- FDI_GDP,"GDP_capita, GovQualityIndex, School_enrollment, Trade_GDP","Model 45.ECI_SITC/(FDI_GDP, GDP_capita, GovQualityIndex, School_enrollment, Trade_GDP)",45,"(3,3,3,3,3,2)",31.476460***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, ICT_Index, School_enrollment, Trade_GDP","Model 46.ECI_SITC/(FDI_GDP, GDP_capita, ICT_Index, School_enrollment, Trade_GDP)",46,"(2,2,2,1,1,1)",335.285776***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, GovQualityIndex, ICT_Index, Trade_GDP","Model 47.ECI_SITC/(FDI_GDP, GDP_capita, GovQualityIndex, ICT_Index, Trade_GDP)",47,"(3,3,3,3,1,2)",11.442455***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
ECI_SITC <- FDI_GDP,"GFCF_GDP, GovQualityIndex, School_enrollment, Trade_GDP","Model 48.ECI_SITC/(FDI_GDP, GFCF_GDP, GovQualityIndex, School_enrollment, Trade_GDP)",48,"(3,3,3,2,3,3)",7.059839***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
ECI_SITC <- FDI_GDP,"GFCF_GDP, ICT_Index, School_enrollment, Trade_GDP","Model 49.ECI_SITC/(FDI_GDP, GFCF_GDP, ICT_Index, School_enrollment, Trade_GDP)",49,"(3,3,3,2,3,3)",4.124662*,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 10%
ECI_SITC <- FDI_GDP,"GFCF_GDP, GovQualityIndex, ICT_Index, Trade_GDP","Model 50.ECI_SITC/(FDI_GDP, GFCF_GDP, GovQualityIndex, ICT_Index, Trade_GDP)",50,"(2,1,2,2,2,1)",97.808573***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
ECI_SITC <- FDI_GDP,"GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP","Model 51.ECI_SITC/(FDI_GDP, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP)",51,"(3,3,3,3,1,3)",7.465916***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, GovQualityIndex, School_enrollment","Model 52.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, GovQualityIndex, School_enrollment)",52,"(3,3,3,3,3,2)",11.554622***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, ICT_Index, School_enrollment","Model 53.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, ICT_Index, School_enrollment)",53,"(3,2,3,3,1,3)",1.720322,4.537,6.37,3.125,4.608,2.578,3.858,No cointeg
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index","Model 54.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index)",54,"(3,3,3,3,1,2)",4.970375**,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 5%
ECI_SITC <- FDI_GDP,"GDP_capita, GovQualityIndex, ICT_Index, School_enrollment","Model 55.ECI_SITC/(FDI_GDP, GDP_capita, GovQualityIndex, ICT_Index, School_enrollment)",55,"(3,3,3,3,1,3)",7.753644***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
ECI_SITC <- FDI_GDP,"GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment","Model 56.ECI_SITC/(FDI_GDP, GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment)",56,"(3,2,3,3,3,3)",5.186990**,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 5%
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, GovQualityIndex, School_enrollment, Trade_GDP","Model 57.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, GovQualityIndex, School_enrollment, Trade_GDP)",57,"(2,1,2,2,1,2,2)",5.609882**,4.27,6.211,2.97,4.499,2.457,3.797,Cointeg 5%
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, ICT_Index, School_enrollment, Trade_GDP","Model 58.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, ICT_Index, School_enrollment, Trade_GDP)",58,"(2,1,2,1,1,2,2)",438.610375***,4.27,6.211,2.97,4.499,2.457,3.797,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index, Trade_GDP","Model 59.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index, Trade_GDP)",59,"(2,2,2,1,1,2,2)",2.11832,4.27,6.211,2.97,4.499,2.457,3.797,No cointeg
ECI_SITC <- FDI_GDP,"GDP_capita, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP","Model 60.ECI_SITC/(FDI_GDP, GDP_capita, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP)",60,"(2,2,2,1,1,2,1)",532.931145***,4.27,6.211,2.97,4.499,2.457,3.797,Cointeg 1%
ECI_SITC <- FDI_GDP,"GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP","Model 61.ECI_SITC/(FDI_GDP, GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP)",61,"(3,2,1,2,1,2,2)",5.319490**,4.27,6.211,2.97,4.499,2.457,3.797,Cointeg 5%
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment","Model 62.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment)",62,"(2,2,1,1,1,2,2)",843.793633***,4.27,6.211,2.97,4.499,2.457,3.797,Cointeg 1%
ECI_SITC <- FDI_GDP,"GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP","Model 63.ECI_SITC/(FDI_GDP, GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP)",63,"(2,1,2,2,1,2,2,2)",2.520746,4.104,6.151,2.875,4.445,2.384,3.728,Indefinido
