Main,Control,Especificación,id,max_lag,Estadístico,cval1_I0,cval1_I1,cval5_I0,cval5_I1,cval10_I0,cval10_I1,conclusion
FDI_GDP <- ECI_HS92,"GovQualityIndex, School_enrollment","Model 19.FDI_GDP/(ECI_HS92, GovQualityIndex, School_enrollment)",19,"(4,3,4,4)",2973.620173***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_HS92,"ICT_Index, School_enrollment","Model 20.FDI_GDP/(ECI_HS92, ICT_Index, School_enrollment)",20,"(4,4,4,3)",3190.617767***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_HS92,"GovQualityIndex, ICT_Index","Model 21.FDI_GDP/(ECI_HS92, GovQualityIndex, ICT_Index)",21,"(4,4,3,4)",55639.609997***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP, Trade_GDP","Model 22.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP, Trade_GDP)",22,"(2,1,3,3,3)",147.411686***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, School_enrollment, Trade_GDP","Model 23.FDI_GDP/(ECI_HS92, GDP_capita, School_enrollment, Trade_GDP)",23,"(2,3,3,3,2)",197.291559***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GovQualityIndex, Trade_GDP","Model 24.FDI_GDP/(ECI_HS92, GDP_capita, GovQualityIndex, Trade_GDP)",24,"(2,1,3,3,3)",66.394900***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, ICT_Index, Trade_GDP","Model 25.FDI_GDP/(ECI_HS92, GDP_capita, ICT_Index, Trade_GDP)",25,"(2,3,2,2,1)",252.663581***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GFCF_GDP, School_enrollment, Trade_GDP","Model 26.FDI_GDP/(ECI_HS92, GFCF_GDP, School_enrollment, Trade_GDP)",26,"(2,1,3,2,2)",187.171622***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GFCF_GDP, GovQualityIndex, Trade_GDP","Model 27.FDI_GDP/(ECI_HS92, GFCF_GDP, GovQualityIndex, Trade_GDP)",27,"(2,3,3,1,1)",151.379722***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GFCF_GDP, ICT_Index, Trade_GDP","Model 28.FDI_GDP/(ECI_HS92, GFCF_GDP, ICT_Index, Trade_GDP)",28,"(2,3,3,1,1)",876.975278***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GovQualityIndex, School_enrollment, Trade_GDP","Model 29.FDI_GDP/(ECI_HS92, GovQualityIndex, School_enrollment, Trade_GDP)",29,"(4,1,4,4,4)",15.141059***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"ICT_Index, School_enrollment, Trade_GDP","Model 30.FDI_GDP/(ECI_HS92, ICT_Index, School_enrollment, Trade_GDP)",30,"(3,3,2,2,1)",152.586329***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GovQualityIndex, ICT_Index, Trade_GDP","Model 31.FDI_GDP/(ECI_HS92, GovQualityIndex, ICT_Index, Trade_GDP)",31,"(2,3,2,3,3)",28.980698***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP, School_enrollment","Model 32.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP, School_enrollment)",32,"(2,3,2,3,2)",5833.826436***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP, GovQualityIndex","Model 33.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP, GovQualityIndex)",33,"(2,3,1,3,3)",339.259791***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP, ICT_Index","Model 34.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP, ICT_Index)",34,"(3,1,3,1,2)",63.303150***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GovQualityIndex, School_enrollment","Model 35.FDI_GDP/(ECI_HS92, GDP_capita, GovQualityIndex, School_enrollment)",35,"(3,2,1,1,2)",77.429804***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, ICT_Index, School_enrollment","Model 36.FDI_GDP/(ECI_HS92, GDP_capita, ICT_Index, School_enrollment)",36,"(3,3,3,2,3)",276.086898***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GovQualityIndex, ICT_Index","Model 37.FDI_GDP/(ECI_HS92, GDP_capita, GovQualityIndex, ICT_Index)",37,"(3,1,3,3,2)",383.022151***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GFCF_GDP, GovQualityIndex, School_enrollment","Model 38.FDI_GDP/(ECI_HS92, GFCF_GDP, GovQualityIndex, School_enrollment)",38,"(2,1,3,1,2)",344.449071***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GFCF_GDP, ICT_Index, School_enrollment","Model 39.FDI_GDP/(ECI_HS92, GFCF_GDP, ICT_Index, School_enrollment)",39,"(2,2,3,2,2)",1174.694569***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GFCF_GDP, GovQualityIndex, ICT_Index","Model 40.FDI_GDP/(ECI_HS92, GFCF_GDP, GovQualityIndex, ICT_Index)",40,"(3,1,1,1,3)",313.244885***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GovQualityIndex, ICT_Index, School_enrollment","Model 41.FDI_GDP/(ECI_HS92, GovQualityIndex, ICT_Index, School_enrollment)",41,"(2,2,1,3,3)",280.598386***,4.768,6.67,3.354,4.774,2.752,3.994,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP, School_enrollment, Trade_GDP","Model 42.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP, School_enrollment, Trade_GDP)",42,"(2,3,2,3,3,2)",3.109201,4.537,6.37,3.125,4.608,2.578,3.858,Indefinido
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP, GovQualityIndex, Trade_GDP","Model 43.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP, GovQualityIndex, Trade_GDP)",43,"(2,1,3,3,1,1)",739.218009***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP, ICT_Index, Trade_GDP","Model 44.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP, ICT_Index, Trade_GDP)",44,"(2,3,2,3,1,1)",1573.644079***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GovQualityIndex, School_enrollment, Trade_GDP","Model 45.FDI_GDP/(ECI_HS92, GDP_capita, GovQualityIndex, School_enrollment, Trade_GDP)",45,"(2,3,3,3,3,2)",3.781982,4.537,6.37,3.125,4.608,2.578,3.858,Indefinido
FDI_GDP <- ECI_HS92,"GDP_capita, ICT_Index, School_enrollment, Trade_GDP","Model 46.FDI_GDP/(ECI_HS92, GDP_capita, ICT_Index, School_enrollment, Trade_GDP)",46,"(3,3,2,2,3,3)",4.736914**,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 5%
FDI_GDP <- ECI_HS92,"GDP_capita, GovQualityIndex, ICT_Index, Trade_GDP","Model 47.FDI_GDP/(ECI_HS92, GDP_capita, GovQualityIndex, ICT_Index, Trade_GDP)",47,"(3,3,2,3,3,3)",11.959375***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
FDI_GDP <- ECI_HS92,"GFCF_GDP, GovQualityIndex, School_enrollment, Trade_GDP","Model 48.FDI_GDP/(ECI_HS92, GFCF_GDP, GovQualityIndex, School_enrollment, Trade_GDP)",48,"(3,2,3,3,3,3)",5.571833**,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 5%
FDI_GDP <- ECI_HS92,"GFCF_GDP, ICT_Index, School_enrollment, Trade_GDP","Model 49.FDI_GDP/(ECI_HS92, GFCF_GDP, ICT_Index, School_enrollment, Trade_GDP)",49,"(3,1,3,1,3,3)",3.698064,4.537,6.37,3.125,4.608,2.578,3.858,Indefinido
FDI_GDP <- ECI_HS92,"GFCF_GDP, GovQualityIndex, ICT_Index, Trade_GDP","Model 50.FDI_GDP/(ECI_HS92, GFCF_GDP, GovQualityIndex, ICT_Index, Trade_GDP)",50,"(3,3,3,3,3,2)",4.872270**,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 5%
FDI_GDP <- ECI_HS92,"GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP","Model 51.FDI_GDP/(ECI_HS92, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP)",51,"(3,3,2,2,3,3)",13.569735***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP, GovQualityIndex, School_enrollment","Model 52.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP, GovQualityIndex, School_enrollment)",52,"(2,3,2,3,2,2)",6.483838***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP, ICT_Index, School_enrollment","Model 53.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP, ICT_Index, School_enrollment)",53,"(3,3,3,3,3,2)",25.866819***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index","Model 54.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index)",54,"(3,3,3,1,1,3)",22.110352***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GovQualityIndex, ICT_Index, School_enrollment","Model 55.FDI_GDP/(ECI_HS92, GDP_capita, GovQualityIndex, ICT_Index, School_enrollment)",55,"(3,3,3,1,3,2)",4.090230*,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 10%
FDI_GDP <- ECI_HS92,"GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment","Model 56.FDI_GDP/(ECI_HS92, GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment)",56,"(3,3,3,3,3,2)",39.653190***,4.537,6.37,3.125,4.608,2.578,3.858,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP, GovQualityIndex, School_enrollment, Trade_GDP","Model 57.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP, GovQualityIndex, School_enrollment, Trade_GDP)",57,"(3,1,2,2,1,1,2)",3.192324,4.27,6.211,2.97,4.499,2.457,3.797,Indefinido
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP, ICT_Index, School_enrollment, Trade_GDP","Model 58.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP, ICT_Index, School_enrollment, Trade_GDP)",58,"(3,2,2,2,1,2,2)",2.911364,4.27,6.211,2.97,4.499,2.457,3.797,Indefinido
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index, Trade_GDP","Model 59.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index, Trade_GDP)",59,"(3,2,1,1,1,2,1)",4212501.836511***,4.27,6.211,2.97,4.499,2.457,3.797,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP","Model 60.FDI_GDP/(ECI_HS92, GDP_capita, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP)",60,"(3,2,1,2,2,2,1)",5.680457**,4.27,6.211,2.97,4.499,2.457,3.797,Cointeg 5%
FDI_GDP <- ECI_HS92,"GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP","Model 61.FDI_GDP/(ECI_HS92, GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP)",61,"(3,2,1,1,2,2,1)",13475684880.739563***,4.27,6.211,2.97,4.499,2.457,3.797,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment","Model 62.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment)",62,"(3,1,1,1,1,2,1)",1813.422524***,4.27,6.211,2.97,4.499,2.457,3.797,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP","Model 63.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP, GovQualityIndex, ICT_Index, School_enrollment, Trade_GDP)",63,"(3,2,1,1,1,2,1,2)",7.215886***,4.104,6.151,2.875,4.445,2.384,3.728,Cointeg 1%
